day,play,outlook,temp,humidity,wind
D1,Yes,Sunny,Cool,Normal,Weak
D2,Yes,Overcast,Hot,Normal,Strong
D3,Yes,Sunny,Hot,Normal,Weak
D4,Yes,Overcast,Cool,Normal,Weak
D5,Yes,Overcast,Mild,Normal,Weak
D6,No,Sunny,Mild,High,Strong
D7,Yes,Overcast,Mild,High,Strong
D8,No,Sunny,Hot,High,Strong
D9,Yes,Rain,Mild,High,Weak
D10,No,Sunny,Mild,High,Strong
D11,No,Rain,Cool,Normal,Strong
D12,No,Sunny,Hot,High,Strong
D13,Yes,Overcast,Hot,Normal,Weak
D14,Yes,Overcast,Hot,Normal,Strong
D15,No,Sunny,Hot,Normal,Weak
D16,No,Rain,Hot,High,Strong
D17,No,Rain,Hot,High,Strong
D18,Yes,Rain,Cool,High,Weak
D19,Yes,Rain,Cool,Normal,Strong
D20,Yes,Rain,Mild,Normal,Weak
D21,Yes,Rain,Mild,Normal,Strong
D22,Yes,Overcast,Cool,Normal,Weak
D23,Yes,Overcast,Hot,High,Weak
D24,No,Rain,Hot,Normal,Strong
D25,No,Rain,Hot,High,Strong
D26,Yes,Sunny,Hot,Normal,Weak
D27,Yes,Overcast,Mild,Normal,Strong
D28,Yes,Rain,Cool,Normal,Strong
D29,No,Sunny,Mild,High,Strong
D30,Yes,Rain,Cool,Normal,Weak
D31,No,Sunny,Hot,High,Weak
D32,Yes,Rain,Cool,Normal,Strong
D33,Yes,Rain,Cool,Normal,Weak
D34,No,Sunny,Hot,High,Strong
D35,No,Sunny,Mild,High,Weak
D36,Yes,Rain,Mild,High,Weak
D37,Yes,Overcast,Hot,High,Weak
D38,No,Rain,Mild,High,Strong
D39,Yes,Sunny,Hot,Normal,Weak
D40,Yes,Rain,Hot,High,Strong
D41,Yes,Overcast,Mild,High,Weak
D42,Yes,Overcast,Cool,Normal,Weak
D43,Yes,Rain,Cool,Normal,Strong
D44,Yes,Overcast,Cool,Normal,Strong
D45,No,Sunny,Hot,High,Strong
D46,Yes,Sunny,Mild,High,Weak
D47,No,Sunny,Mild,High,Strong
D48,No,Sunny,Hot,High,Strong
D49,No,Rain,Cool,High,Strong
D50,No,Sunny,Cool,Normal,Weak
D51,Yes,Overcast,Hot,Normal,Weak
D52,Yes,Sunny,Cool,Normal,Weak
D53,Yes,Sunny,Mild,Normal,Strong
D54,No,Rain,Mild,High,Strong
D55,No,Rain,Cool,Normal,Strong
D56,Yes,Sunny,Cool,High,Strong
D57,No,Sunny,Hot,High,Strong
D58,Yes,Rain,Cool,Normal,Weak
D59,Yes,Overcast,Hot,Normal,Weak
D60,Yes,Rain,Mild,Normal,Weak
D61,Yes,Rain,Cool,Normal,Strong
D62,No,Sunny,Hot,High,Strong
D63,Yes,Overcast,Mild,High,Strong
D64,No,Sunny,Hot,High,Strong
D65,Yes,Rain,Cool,Normal,Strong
D66,No,Sunny,Mild,High,Strong
D67,Yes,Rain,Mild,Normal,Weak
D68,Yes,Sunny,Cool,Normal,Weak
D69,Yes,Rain,Mild,Normal,Weak
D70,Yes,Rain,Mild,Normal,Weak
D71,Yes,Sunny,Cool,Normal,Weak
D72,Yes,Overcast,Cool,High,Weak
D73,Yes,Rain,Cool,Normal,Strong
D74,Yes,Sunny,Hot,Normal,Weak
D75,Yes,Overcast,Mild,High,Weak
D76,Yes,Sunny,Mild,High,Weak
D77,Yes,Rain,Cool,High,Strong
D78,No,Sunny,Hot,High,Weak
D79,No,Sunny,Hot,High,Strong
D80,No,Rain,Mild,High,Weak
D81,Yes,Sunny,Cool,High,Weak
D82,No,Sunny,Hot,Normal,Strong
D83,Yes,Sunny,Hot,Normal,Weak
D84,Yes,Overcast,Mild,High,Strong
D85,No,Rain,Hot,High,Strong
D86,Yes,Overcast,Hot,Normal,Weak
D87,Yes,Rain,Cool,Normal,Weak
D88,No,Sunny,Cool,High,Strong
D89,Yes,Sunny,Mild,Normal,Strong
D90,No,Rain,Mild,High,Strong
D91,No,Sunny,Mild,Normal,Strong
D92,Yes,Overcast,Cool,Normal,Weak
